,URL,Dish,Cuisine,Total Time,Ingredients
10,https://www.vegrecipesofindia.com/sabudana-khichdi-navratri-vrat-recipe/,Sabudana Khichdi,Indian,25 mins,"['Ingredients', '1 cup sabudana (or tapioca pearls)', '2 medium sized potatoes', '½ cup roasted peanuts', '8 to 10 curry leaves - optional', '1 teaspoon grated ginger - optional', '1 green chili - chopped', '1 teaspoon cumin', '¼ cup grated fresh coconut (optional)', '½ to 1 teaspoon sugar or as required', '½ to 1 teaspoon lemon juice or as required (optional)', '3 tablespoon peanut oil or ghee', 'rock salt (sendha namak) as required']"
11,https://www.vegrecipesofindia.com/aloo-paratha-indian-bread-stuffed-with-potato-filling/,Aloo Paratha,"Indian, Punjabi",50 mins,"['Ingredients', 'For Aloo Paratha Stuffing', '3 to 4 medium potatoes , boiled and mashed', '1 to 2 green chilies, chopped finely', '¼ to ½ teaspoon kashmiri red chilli powder or deghi mirch, optional', '¼ to ½ teaspoon punjabi garam masala powder or garam masala powder', '½ to 1 teaspoon amchur (dry mango powder)', '2 to 3 teaspoons finely chopped coriander leaves, optional', 'salt as required', 'oil or ghee, as required for roasting parathas', 'For Paratha Dough', '2 cups whole wheat flour', '½ teaspoon salt or add as required', '1 tablespoon oil or ghee (clarified butter)', 'water as required for kneading', 'Serving Suggestions', 'white butter or yogurt to serve with the aloo paratha', 'mango pickle or lemon pickle']"
12,https://www.vegrecipesofindia.com/kashmiri-dum-aloo/,Dum Aloo (2 Ways) | Kashmiri Dum Aloo & Restaurant Style,Kashmiri,50 mins,"['Ingredients', 'For Cooking Potatoes', '500 grams potatoes or 20 to 22 baby potatoes', '3 to 3.5 cups water', '¼ teaspoon salt', 'Other Ingredients', '3 teaspoon kashmiri red chili powder (or deghi mirch), mixed in 2 tablespoon water', '½ tablespoon ginger powder', '1 tablespoon fennel powder', '1 teaspoon caraway seeds (shah jeera)', '1 inch cinnamon', '3 cloves', '1 black cardamom', '4 to 5 black peppers', '1 green cardamom - optional', '6 tablespoon fresh full fat curd, beaten or whisked till smooth (yogurt)', '1.5 cups water', '¾ cup mustard oil for frying potatoes', '2 tablespoon fresh mustard oil for making gravy or reserve 2 tablespoon mustard oil from the ¾ cup that is used for frying potatoes.', 'salt as required', 'some caraway seeds as garnishing - optional']"
13,https://www.vegrecipesofindia.com/sweet-corn-soup-recipe/,Easy One Pot Corn Soup (Vegan),Indo Chinese,40 mins,"['Ingredients', '1 medium to large sized corn cob (sweet corn)', '½ teaspoon freshly ground or crushed black pepper or add as per taste', ""1 teaspoon chopped celery, skip if you don't have celery"", '1 tablespoon chopped spring onions (scallions) or shallots', '1 tablespoon oil (sunflower oil or olive oil) or butter', '1.5 cups water OR 1.5 cups veg stock OR ¾ cup warm milk + ¾ cup water', '½ tablespoon corn starch (corn flour) dissolved in 2 tablespoon water', 'salt as required']"
14,https://www.vegrecipesofindia.com/hara-bhara-kabab/,Hara Bhara Kabab,North Indian,50 mins,"['Ingredients', 'For Blanching Spinach', '2 cups fresh spinach leaves or 100 grams', '1.5 to 2 cups water for blanching', '1 to 1.5 cups cold water', 'For Cooking Potatoes And Green Peas', '2 medium large potatoes or 200 to 215 grams', '½ cup green peas or 150 grams , fresh or frozen', '2 cups water for pressure cooking', 'Other Ingredients', '4 tablespoons besan (gram flour) or add as required', '1 green chilli', '1 to 1.5 inches ginger - roughly chopped, adjust as per your spice requirements', '1 teaspoon chaat masala powder', '1 teaspoon amchur powder (dry mango powder)', '¼ teaspoon garam masala powder', 'salt as required', '8 cashew halves - optional', '2 to 3 tablespoons oil for pan frying the kabab, add as required']"
15,https://www.vegrecipesofindia.com/lemon-rice/,Lemon Rice,South Indian,25 mins,"['Ingredients', '1 cup heaped regular rice or 3 to 4 cups cooked rice', '1.5 to 2 tablespoons lemon juice or add as required', '1 teaspoon mustard seeds', '1 teaspoon urad dal (spilt and skinned black gram)', '2 dry red chilies', '1 to 2 green chilies, chopped', '12 to 15 curry leaves', '1 generous pinch asafoetida (hing)', '½ teaspoon turmeric powder', '1 tablespoon cashews - halved or chopped (optional)', '¼ cup peanuts - optional', '2 to 3 tablespoon sesame oil - optional', 'rock salt (sendha namak) or regular salt as required']"
16,https://www.vegrecipesofindia.com/aloo-rasedar-recipe/,Aloo Rasedar,North Indian,30 mins,"['Ingredients', '4 medium potatoes (aloo) or 300 grams potatoes or 10.5 oz potatoes', '1 large tomato - about ¾ cup finely chopped tomatoes', '1 inch ginger, finely chopped or 1.5 teaspoon finely chopped ginger', '¼ teaspoon fenugreek seeds (methi seeds)', '¼ teaspoon turmeric powder', '½ teaspoon red chili powder', '1 teaspoon cumin powder', ""1 teaspoon fennel powder - if you don't have ground fennel then lightly roast 1 teaspoon fennel seeds in a small pan till fragrant and then coarsely powder in a mortar-pestle)"", '1 teaspoon coriander powder', '1 teaspoon amchur powder (dry mango powder)', '½ teaspoon garam masala powder', '⅛ teaspoon asafoetida (hing)', '1 to 1.5 cups water or add as required', '1 tablespoon oil or ghee', 'salt as required']"
17,https://www.vegrecipesofindia.com/rava-dhokla-instant-rava-dhokla/,Instant Rava Dhokla | Sooji Dhokla,Gujarati,35 mins,"['Ingredients', 'Main Ingredients', '2 cup fine sooji or rava or semolina (fine variety of sooji)', '½ inch ginger + 1 green chili - crushed and made into a paste in a mortar-pestle', '1 cup water or add as required', '1 teaspoon oil', '½ teaspoon sugar or add as per taste', '1 pinch turmeric powder', '1 to 1.25 tablespoons lemon juice - from 1 medium sized lemon', '1 teaspoon eno (fruit salt) or baking soda', 'salt as required', 'For Tempering', '½ teaspoon mustard seeds', '½ teaspoon cumin seeds', '1 teaspoon sesame seeds', '8 to 10 curry leaves', '1 pinch of asafoetida (hing)', '2 to 3 tablespoons water', '½ tablespoon oil', 'For Garnish', '2 tablespoons chopped coriander leaves', '(cilantro leaves)', '1 to 2 tablespoons fresh grated coconut, optional']"
18,https://www.vegrecipesofindia.com/chakli-recipe-instant-chakli-recipe/,"Chakli Recipe, How To Make Chakli Recipe | Diwali Recipes","Indian, Maharashtrian",1 hr 15 mins,"['Ingredients', '1 cup rice flour', '½ cup besan (gram flour)', '2.5 tablespoon oil or softened butter', '⅔ to ¾ cup water - add as required', '¼ teaspoon turmeric powder', '½ teaspoon ajwain (carom seeds)', '½ teaspoon cumin seeds', '1 teaspoon red chili powder or add as required', 'a generous pinch of asafoetida (hing) - optional', '1 tablespoon sesame seeds - white or black (safed til or kala til)', 'oil for deep frying', 'salt as required']"
19,https://www.vegrecipesofindia.com/gujarati-kadhi-recipe-gujarati-kadhi/,Gujarati Kadhi,Gujarati,20 mins,"['Ingredients', 'For The Kadhi', '1 cup fresh curd (yogurt)', '2 to 2.5 cups water', '4 tablespoons gram flour (besan)', '½ tablespoon ginger-green chili paste or crushed ½ inch ginger & 1 to 2 green chilies', '1 tablespoon sugar or jaggery, add more for more sweetness', 'salt as required', 'coriander leaves for garnishing', 'For Tempering', '1 inch cinnamon stick', '2 cloves', '1 sprig curry leaves', '1 generous pinch asafoetida (hing)', '2 broken red chilies, deseeded', '½ teaspoon cumin seeds', '½ teaspoon mustard seeds', '¼ teaspoon fenugreek seeds (methi ke dane)', '1 tablespoon oil or ghee']"
20,https://www.vegrecipesofindia.com/tamarind-date-chutney-recipe-sweet-chutney-for-chaat/,Sweet Chutney | Tamarind Dates Chutney,North Indian,21 mins,"['Ingredients', '½ cup tightly packed seedless tamarind', '½ cup seedless dates', '½ cup powdered or grated jaggery or as required - adjust as per your taste', '2 cups water', '½ teaspoon roasted cumin powder', '½ teaspoon coriander powder', '½ teaspoon dry ginger powder (saunth)', '¼ or ½ teaspoon red chili powder or 1 dry red chili * see notes', 'black salt or rock salt as required.']"
21,https://www.vegrecipesofindia.com/crispy-okra-fry-recipe-crisp-bhindi-fry/,Kurkuri Bhindi | Okra Fry | Bhindi Fry,Indian,1 hr,"['Ingredients', '500 grams okra (bhindi or lady finger)', '½ teaspoon turmeric powder', '1 teaspoon red chili powder', '1 teaspoon coriander powder (ground coriander)', '1 teaspoon cumin powder', '1 teaspoon garam masala powder', '1 teaspoon dry mango powder (amchur powder)', '1 teaspoon chaat masala', '½ cup gram flour (besan or chickpea flour)', 'salt, add as required', '10 tablespoons oil or add as required, for frying the bhindi in batches']"
22,https://www.vegrecipesofindia.com/appam-recipe-kerala-appam/,Appam,"Indian, Kerala",10 hrs 30 mins,"['Ingredients', '2 cups regular rice (sona masoori, basmati, kolam or any variety)', '1 cup parboiled rice or boiled rice or idli rice', 'a fistful of poha (aval or parched rice) or cooked rice', '1 or 1.5 cups grated coconut or 1 cup thick coconut milk * check notes', '½ teaspoon dry active yeast', '2 tablespoon sugar', '1 teaspoon salt or add as required', 'water or as required for grinding', 'oil as required']"
23,https://www.vegrecipesofindia.com/methi-muthia-steamed-methi-muthia-fried/,Methi Muthia (Fried And Steamed),"Gujarati, Indian",50 mins,"['Ingredients', 'For Making Dough', '2 cups besan (gram flour)', '1 tablespoon water or curd (yogurt) - add more if required', '¼ teaspoon baking soda', '2.5 cups chopped methi leaves (fenugreek leaves)', '2 teaspoon sugar or as required', '1 teaspoon salt or as required', '2 tablespoon oil', '2 tablespoon rava (sooji or cream of wheat or semolina)', '2 teaspoon white sesame seeds', '1 teaspoon turmeric', '1 teaspoon coriander powder', '1 teaspoon cumin powder', '½ teaspoon red chili powder or cayenne pepper', '2 tablespoon lemon juice', '2 tablespoon ginger green chili paste', 'water for steaming the muthia', 'oil for frying the muthia', 'For Tempering The Steamed Muthia', '2 tablespoon oil', '1 teaspoon white sesame seeds', '1 teaspoon mustard seeds', '1 pinch asafoetida (hing)', '1 sprig of curry leaves', 'For Garnishing The Steamed Muthia', 'few chopped coriander leaves', 'some freshly grated coconut']"
24,https://www.vegrecipesofindia.com/peanut-chutney/,Peanut Chutney | Groundnut Chutney,Indian,12 mins,"['Ingredients', '¼ cup peanuts (groundnut or shenga)', '¼ cup bengal gram (roasted chana dal)', '1 to 2 green chili or dry red chilies', '¼ inch ginger', '½ tablespoon sesame seeds', '12 to 15 curry leaves', '1 or 2 teaspoon oil', '1 pinch asafoetida (hing)', 'salt as required', 'water as required']"
25,https://www.vegrecipesofindia.com/matar-masala-recipe-peas-masala/,Green Peas Masala | Green Peas Curry,"North Indian, Punjabi",1 hr,"['Ingredients', 'For Tomato-Cashew Paste', '3 medium to large tomatoes or 250 grams tomatoes or 1.5 cups chopped tomatoes', '10 to 12 cashews', 'Other Ingredients', '1 cup matar or 140 grams matar (peas)', '1 to 1.5 teaspoon ginger+green chili paste or ½ inch ginger + 1 to 2 green chilies - crushed to a paste in a mortar-pestle', '2 tablespoon fresh curd, beaten (yogurt)', '2 tablespoon milk powder or dairy whitener', 'a generous pinch of asafoetida (hing)', '½ teaspoon turmeric powder', '½ to ¾ teaspoon red chili powder', '1 teaspoon cumin powder', '1 teaspoon coriander powder', '½ teaspoon garam masala powder', '½ teaspoon kasuri methi, crushed (dry fenugreek leaves)', '1 cup water', '3 tablespoon oil', 'salt as required', 'Whole Garam Masala', '1 tej patta (indian bay leaf)', '2 cloves', '2 green cardamoms', '1 inch cinnamon', '1 or 2 single strands of mace - optional']"
26,https://www.vegrecipesofindia.com/sabudana-vada-recipe-how-to-make-sabudana-vada-recipe/,Sabudana Vada,Maharashtrian,5 hrs 30 mins,"['Ingredients', '1 cup sabudana (tapioca pearls)', '4 medium-sized potatoes', '½ cup peanuts', '1 teaspoon cumin seeds - optional', '1 to 2 green chillies - finely chopped', '1 teaspoon ginger - finely chopped', '2 teaspoons lime juice (optional)', '2 tablespoons chopped coriander leaves, - optional', '1.5 teaspoon sugar or as required', '1 to 2 tablespoons kuttu ka atta (buckwheat flour) or amaranth flour - optional', 'rock salt or sendha namak - a kind of salt used food made during fasts. you could use regular salt if the recipe is not being made during the fasting period.', 'oil for frying']"
27,https://www.vegrecipesofindia.com/sambar-powder-recipe-homemade-sambar-powder/,"Sambar Powder Recipe, How To Make Sambar Powder | Sambar Podi","South Indian, Tamil Nadu",30 mins,"['Ingredients', '½ cup coriander seeds or 40 grams', '2 tablespoon cumin seeds', '16 to 18 dry red chillies', '1.5 teaspoon fenugreek seeds (methi seeds)', '1 tablespoon black pepper', '2 tablespoon chana dal (split husked bengal gram)', '1 tablespoon urad dal (split husked black gram)', '⅓ cup curry leaves', '½ tablespoon mustard seeds', '½ tablespoon asafoetida (hing)', '½ tablespoon turmeric powder']"
28,https://www.vegrecipesofindia.com/kaddu-ki-sabzi/,Kaddu Ki Sabji | Easy Pumpkin Recipe,Indian,35 mins,"['Ingredients', '1 small pumpkin (kaddu)', '¼ teaspoon fenugreek seeds (methi seeds)', '1 teaspoon cumin seeds', '1 or 2 dry red chilies (optional)', '½ teaspoon red chili powder', '½ teaspoon turmeric powder', '¼ teaspoon garam masala powder', '1 teaspoon dry mango powder (amchur)', '1 teaspoon sugar or 2 teaspoon crushed jaggery', '2 tablespoon oil', '¾ cup water or 1 cup water', 'a few chopped coriander leaves for garnishing (optional)', 'rock salt or sendha namak (or you can use common salt if not making during religious fasting)']"
29,https://www.vegrecipesofindia.com/gobi-paratha-punjabi-gobi-paratha/,Gobi Paratha,"North Indian, Punjabi",50 mins,"['Ingredients', 'For The Wheat Dough', '3 cups whole wheat flour', '1 cup water or add more if required', 'salt as required (optional)', '1 tablespoon ghee or oil or add as required (optional)', 'For Gobhi Paratha Stuffing', '½ of a cauliflower head, finely grated', '1 green chili, chopped finely', 'garam masala powder as required', 'red chili powder as required', 'salt to taste', 'For Roasting The Paratha', 'ghee as required (clarified butter)']"
30,https://www.vegrecipesofindia.com/aloo-gobi-recipe-punjabialoo-gobi/,Aloo Gobi (2 Ways) | Restaurant Style Curry & Punjabi Aloo Gobi Sabzi,"North Indian, Punjabi",1 hr 20 mins,"['Ingredients', 'Main Ingredients', '1 medium sized cauliflower or approx 2.5 to 3 cups chopped medium cauliflower florets', '2 medium sized potatoes or approx 2 to 2.5 cups diced potatoes', '1 medium to large onion - finely chopped', '2 large ripe red tomatoes or approx 2 to 2.5 cups finely chopped tomatoes', '15 whole cashews soaked in hot water for 20-30 minutes', '2 tablespoon cream', '1 inch ginger + 3-4 garlic cloves - crushed to a paste in a mortar-pestle or approx 1 to 1.25 teaspoon ginger garlic paste', '½ teaspoon kashmiri red chili powder or deghi mirch or ¼ teaspoon red chili powder - adjust as per the heat in the red chili powder', '¼ teaspoon turmeric powder', '¾ teaspoon coriander powder', '¼ to ½ teaspoon garam masala or tandoori masala powder', '½ teaspoon crushed kasuri methi (dry fenugreek leaves)', '1 tablespoon butter + 1 tablespoon oil', '2 cups water or veg stock', 'salt as required', 'Whole Spices', '1 inch cinnamon', '1 tej patta (indian bay leaf)', '2 to 3 green cardamoms', '2 to 3 cloves', '1 black cardamom', '1 single strand of mace']"
31,https://www.vegrecipesofindia.com/oats-idli-recipe-oats-recipes/,Oats Idli,South Indian,55 mins,"['Ingredients', 'Main Ingredients For Oats Idli', '1 cup oats, quick cooking oats or rolled oats', '½ cup fine rava (sooji or cream of wheat)', '½ cup fresh or sour curd (yogurt)', '1 cup water or add as required', '1 teaspoon eno or ½ teaspoon baking soda', '1 small to medium carrot grated or 1/3 to ½ cup grated carrot - optional', '3 teaspoon chopped coriander leaves', '(cilantro leaves)', 'salt as required', 'For Tempering Oats Idli', '½ tablespoon oil', '½ teaspoon mustard seeds', '½ teaspoon cumin seeds', '½ teaspoon urad dal (optional)', '1 teaspoon chana dal (bengal gram)', '1 pinch asafoetida (hing)', '½ teaspoon crushed black pepper', '1 or 2 green chilies, chopped or 1 teaspoon chopped green chilies', '1 teaspoon finely chopped curry leaves', '1 teaspoon chopped ginger or ½ inch ginger chopped', '8 to 10 cashews - chopped', '1 or 2 tablespoon grated coconut (optional)']"
32,https://www.vegrecipesofindia.com/dry-aloo-matar-recipe/,Baby Potato Recipe With Green Peas | Dry Aloo Matar (Sabji),North Indian,35 mins,"['Ingredients', '10 to 12 baby potatoes or 3 medium sized potatoes (aloo)', '¾ cup fresh or frozen peas (matar)', '1 teaspoon cumin seeds', '½ teaspoon red chili powder or add as required', '1 teaspoon coriander powder', '1 teaspoon cumin powder', '1 teaspoon dry mango powder (amchur)', '1 teaspoon chaat masala powder', '½ teaspoon garam masala powder', '1 green chili , chopped, can also add 2 green chilies', '1 inch ginger , chopped', '2 tablespoons oil', 'rock salt or black salt or salt as required']"
33,https://www.vegrecipesofindia.com/paneer-butter-masala-recipe-no-onion-no-garlic/,No Onion No Garlic Paneer Butter Masala (Satvik),"North Indian, Punjabi",50 mins,"['Ingredients', 'For Tomato Puree', '4 medium tomatoes or 300 grams tomatoes or 2 cups diced tomatoes- pureed', 'For Cashew Paste', '15 to 18 cashews, soaked in hot water for 30 minutes', '3 to 4 tablespoon water for grinding cashew', 'Whole Spices', '1 tejpatta (indian bay leaf)', '2 to 3 cloves', '½ inch cinnamon', '2 green cardamoms', '1 single strand of mace', '1 pinch asafoetida (hing)', 'Other Ingredients', '200 to 250 grams paneer (cottage cheese)', '2 to 3 tablespoon butter', '1 teaspoon kashmiri red chili powder or deghi mirch', '1.25 cups water or add as required', '½ teaspoon ginger paste or ½ inch ginger - crushed to a paste in mortar-pestle', '1 green chili - slit', '½ teaspoon garam masala powder', '1 teaspoon kasuri methi (dry fenugreek leaves) - crushed', '1 to 2 tablespoon chopped coriander leaves (cilantro leaves)', '2 tablespoon low fat cream (optional)', '¼ to 1 teaspoon sugar, add as per taste and depending on the sourness of the tomatoes', 'salt as required']"
34,https://www.vegrecipesofindia.com/palak-dal-spinach-dal/,Easy Dal Palak (Creamy Lentils With Spinach),Indian,30 mins,"['Ingredients', '¼ cup tuvar dal (pigeon pea lentils or arhar dal)', '¼ cup masoor dal (pink lentils)', '2 cups chopped spinach', '1 or 2 green chilies , chopped', '1 inch ginger , chopped', '1 teaspoon cumin seeds', '¼ teaspoon asafoetida (hing)', '½ teaspoon turmeric powder', '½ teaspoon red chili powder', '2 to 2.5 cups water, for pressure cooking the dals', '½ to 1 cup water, to be added to the dal in the last step', '2 to 3 tablespoons ghee or oil', 'salt as required']"
35,https://www.vegrecipesofindia.com/soybean-dosa-recipe-flaxseed-soybean-dosa-recipe/,Soybean Dosa,Indian,9 hrs 45 mins,"['Ingredients', '¾ cup soyabean', '2 tablespoon flax seeds', '3 tablespoon rice flour', '1 green chili', '½ inch piece ginger', 'salt as required', 'water as required', 'oil/butter or ghee for frying, for vegan version use oil instead of butter or ghee']"
36,https://www.vegrecipesofindia.com/tomato-chutney-recipe/,Tomato Chutney (2 Ways) | Tomato Chutney With Tempering & With Onions,South Indian,30 mins,"['Ingredients', 'Main Ingredients', '2 large tomatoes or 1 cup tightly packed chopped tomatoes or 225 to 250 grams', '½ inch ginger - chopped', '2 to 3 dry red chilies - broken and deseeded', '1 teaspoon urad dal (split and husked black gram)', '4 to 5 black pepper', '2 to 3 cloves', '1 pinch asafoetida (hing) - optional', '2 tablespoon water for grinding - add 1 or 2 tablespoon more if required', '½ tablespoon oil', 'salt as required', 'For Tempering', '½ tablespoon oil', '1 dry red chili - halved and deseeded', '7 to 8 curry leaves', '½ teaspoon mustard seeds', '2 to 3 fenugreek seeds (methi seeds)', '1 pinch asafoetida (hing)']"
